SearchTerm,Link1,AdaptationOf,Link2
Mountains of the Moon [1990 film],/work/807019,Burton and Speke,/work/232219
"White Hunter, Black Heart [1990 film]",/work/10392793,"White Hunter, Black Heart",/work/309447
Cadence [1990 film],/work/18160480,Cadence,/work/800441
Flat Stanley,/work/2364894,Flat Stanley,/work/2364894
The Fourth War [1990 film],/work/10595273,The War in Pictures: Fourth Year,/work/6249201
Tune In Tomorrow [1990 film],/work/13207607,Tune In Tomorrow [1990 film],/work/13207607
Pet Sematary [1989 film],/work/12536503,Pet Sematary,/work/24308
Dead Calm [1989 film],/work/126700,"The Walking Dead, Volume 07: The Calm Before",/work/3946969
The War of the Roses [1989 film],/work/758840,The War of the Roses [1989 film],/work/758840
Drugstore Cowboy [1989 film],/work/532486,Drugstore Cowboy [1989 film],/work/532486
Valmont [1989 film],/work/1460246,Les Liaisons Dangereuses,/work/32388
Let It Ride (Pickup Men) (Volume 2),/work/15028516,,
"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!",/work/12716,,
Johnny Handsome [1989 movie],/work/11059020,"The three worlds of Johnny Handsome,",/work/1962301
A Dry White Season [1989 film],/work/18002953,A Dry White Season,/work/27399
The Rainbow [1989 film],/work/11044956,The Rainbow,/work/27196
Enemies: A Love Story [1989 film],/work/6205761,"Enemies, A Love Story",/work/56644
Heart of Dixie (Loveswept),/work/2097145,,
The Old Gringo,/work/84298,,
In Country [1989 film],/work/3364169,In Country,/work/114559
Day of the Cheetah,/work/61977,,
Die Hard [1988 film],/work/12535416,Nothing Lasts Forever,/work/652051
Who Framed Roger Rabbit [1988 film],/work/1246629,Who Censored Roger Rabbit,/work/88169
Grave of the Fireflies [1988 film],/work/317925,Grave of the Fireflies,/work/258186
Beaches [1988 film],/work/13752220,Beaches [1988 film],/work/13752220
The Lair of the White Worm [1988 film],/work/2931939,The Lair of the White Worm,/work/215367
Dangerous Liaisons [1988 film],/work/1437179,Les Liaisons Dangereuses,/work/32388
The Last Temptation of Christ [1988 film],/work/1886588,The Last Temptation of Christ,/work/8493
Scrooged [1988 film],/work/780424,A Christmas Carol,/work/1549
The Unbearable Lightness of Being [1988 film],/work/8192906,The Unbearable Lightness of Being,/work/5068
The Adventures of Baron Munchausen [1988 film],/work/4036467,The Surprising Adventures of Baron Munchausen,/work/200476
Oliver Twist,/work/2215,Oliver Twist,/work/2215
Monkey Shines,/work/960380,,
Funny Farm [1988 film],/work/13364121,Funny Farm: A Sweeping Epic of the Sticks,/work/639309
"Bright Lights, Big City [1988 film]",/work/2208637,"Bright Lights, Big City",/work/10474
A Cry in the Dark [1988 film],/work/3291149,A Cry in the Dark [1988 film],/work/3291149
The New Adventures of Pippi Longstocking [1988 film],/work/14272205,The New Adventures of Pippi Longstocking [1988 film],/work/14272205
Appointment with Death [1988 film],/work/16292476,Appointment with Death,/work/15499
Talk Radio [1988 film],/work/16462925,Talk Radio [1988 film],/work/16462925
Vice Versa [1988 film],/work/22486665,Vice Versa,/work/60350
The Milagro Beanfield War [1988 film],/work/10699845,The Milagro Beanfield War,/work/115961
Maniac Cop [1988 Film],/work/16446488,Bon Cop Bad Cop [2006 film],/work/12286095
The Couch Trip [1988 film],/work/17776859,The Couch Trip,/work/6916627
The Good Mother [1988 film],/work/24916394,The Good Mother,/work/72473
Everybody's All-American [1988 film],/work/17615951,Everybody's All-American,/work/626789
Beyond the C Standard Library: An Introduction to Boost,/work/1575908,,
The Princess Bride [1987 film],/work/11454,The Princess Bride,/work/4936
Full Metal Jacket [1987 film],/work/1482466,The Short-Timers,/work/8360
The Witches of Eastwick [1987 film],/work/1015241,The Witches of Eastwick,/work/74700
The Untouchables [1987 film],/work/643637,The Untouchables,/work/280256
The Running Man [1987 film],/work/710958,The Running Man,/work/109376
Empire of the Sun [1987 film],/work/2194749,Empire of the Sun,/work/7150
Angel Heart [1987 film],/work/853268,Angel Heart [1987 film],/work/853268
"Three Novels: Molloy, Malone Dies, The Unnamable",/work/1069904,,
No Way Out [1987 film],/work/14427883,The Big Clock,/work/262536
The Believers [1987 film],/work/14352334,The Believers,/work/4398201
The Fourth Protocol [1987 film],/work/1665250,The Fourth Protocol,/work/11626
Ironweed,/work/37306,,
The Bedroom Window [1987 film],/work/19172604,The Bedroom Window [1987 film],/work/19172604
Rampage [1987 film],/work/22060326,Rampage [2018 film],/work/21963893
Tough Guys Don't Dance [1987 film],/work/1061216,Tough Guys Don't Dance,/work/128346
The Sicilian [1987 film],/work/16552515,The Sicilian,/work/27396
White Mischief [1987 film],/work/13950611,White Mischief: The Murder of Lord Erroll,/work/148140
A Prayer for the Dying [1987 film],/work/12692823,The Iron Tiger/The Keys of Hell/A Prayer for the Dying,/work/55777
Burglar [1987 film],/work/1246448,B Is for Burglar,/work/10184
Pinocchio and the Emperor of the Night,/work/9611266,,
Manhunter [1986 film],/work/8571160,Red Dragon,/work/5882
9½ Weeks [1986 film],/work/7611025,9½ Weeks [1986 film],/work/7611025
The Color of Money [1986 film],/work/3607419,The Color of Money [1986 film],/work/3607419
Cobra [1986 film],/work/13194244,A Running Duck,/work/1282743
The Mosquito Coast [1986 film],/work/1349246,The Mosquito Coast,/work/7931
The Great Mouse Detective [1986 animated film],/work/7992780,The Great Mouse Detective [1986 animated film],/work/7992780
The Clan of the Cave Bear [1986 film],/work/6202789,The Clan of the Cave Bear,/work/3599321
Heartburn [1986 film],/work/17141982,Heartburn,/work/154016
Allan Quatermain and the Lost City of Gold [1986 film],/work/2666128,Allan Quatermain and the Lost City of Gold [1986 film],/work/2666128
8 Million Ways to Die [1986 film],/work/22245519,Eight Million Ways to Die,/work/24583
Blue City,/work/564047,,
Tai-Pan [1986 film],/work/23681497,Tai-Pan,/work/19000
Heat [1995 film],/work/25882561,,
Shanghai Surprise [1986 film],/work/12590608,Shanghai Surprise [1986 film],/work/12590608
Mala Noche [1986 film],/work/11165386,Mala Noche [1986 film],/work/11165386
Native Son,/work/8100,,
Cocoon [1985 film],/work/7944698,Cocoon [1985 film],/work/7944698
Return to Oz [1985 film],/work/9086437,Return to Oz,
A Room with a View,,,
The Color Purple,,,
Silver Bullet [1985 Film],/work/10802348,,
To Live and Die in L.A. [1985 film],/work/12286381,To Live and Die in L.A.,/work/344580
Fletch [1985 film],/work/7462354,Fletch,/work/32163
Ladyhawke [1985 film],/work/701667,Ladyhawke [1985 film],/work/701667
The Black Cauldron [1985 animated film],/work/6550675,The Book of Three,/work/5943
Brewster's Millions [1985 film],/work/6008692,Brewster's Millions,/work/773056
Year of the Dragon [1985 film],/work/12431960,Year of the Dragon [1985 film],/work/12431960
The Quiet Earth [1985 film],/work/11047142,The Quiet Earth,/work/60158
Mishima: A Life In Four Chapters (1985 Film),/work/17476119,Mishima: A Life in Four Chapters,/work/7719176
King Solomon's Mines [1985 film],/work/10817243,King Solomon's Mines,/work/55090
Desert Hearts [1985 film],/work/1672346,Desert of the Heart,/work/71011
The Mean Season [1985 film],/work/24411573,"Fables, Vol. 05: The Mean Seasons",/work/59077
King David [1985 film],/work/11791127,King of the Murgos,/work/17511
Compromising Positions,/work/42361,,
Stick [1985 film],/work/21786945,Stick,/work/189699
Joshua Then and Now,/work/323382,,
Dune [1984 film],/work/4041425,Dune,/work/4041453
Once Upon a Time in America [1984 film],/work/9682068,Once Upon a Time in America,/work/1906664
The NeverEnding Story [1984 film],/work/532670,The Neverending Story,/work/1174144
2010: The Year We Make Contact [1984 film],/work/2915906,2010: Odyssey Two,/work/7132
Firestarter [1984 film],/work/16291059,Firestarter,/work/24193
Against All Odds [1984 film],/work/9151975,Against All Odds [1984 film],/work/9151975
The Natural [1984 film],/work/1894224,The Natural,/work/149023
The Cotton Club [1984 film],/work/7724581,The Cotton Club [1984 film],/work/7724581
Birdy [1984 film],/work/3559400,Birdy,/work/63948
The Hotel New Hampshire [1984 film],/work/6478466,The Hotel New Hampshire,/work/5162
A Passage to India [1984 film],/work/1130628,A Passage to India,/work/2156470
Razorback [1984 film],/work/18714538,Razorback [1984 film],/work/18714538
The Evil That Men Do [1984 film],/work/16588502,The Evil that Men Do / The Purloined Planet,/work/791818
The Razor's Edge [1984 film],/work/17207551,The Razor's Edge,/work/7947
The Pope of Greenwich Village [1984 film],/work/18046014,The Pope of Greenwich Village [1984 film],/work/18046014
Flashpoint,/work/313691,,
Best Defense [1984 film],/work/17725840,"The Walking Dead, Volume 05: The Best Defense",/work/1036473
Finders Keepers,/work/15179344,,
The Outsiders [1983 film],/work/7747039,The Outsiders,/work/22993
Scarface [1983 film],/work/1914870,Scarface [1983 film],/work/1914870
Christine [1983 film],/work/5346501,Christine,/work/35808
A Christmas Story [1983 film],/work/8182979,In God We Trust: All Others Pay Cash,/work/6608
Octopussy [1983 film],/work/2211231,Octopussy [1983 film],/work/2211231
Jaws 3-D [1983 film],/work/14345783,Jaws 3-D [1983 film],/work/14345783
Cujo [1983 film],/work/2752778,Cujo,/work/3185
The Dead Zone [1983 film],/work/3075261,The Dead Zone,/work/2934
Something Wicked This Way Comes,/work/3397,,
Terms of Endearment [1983 film],/work/758816,Terms of Endearment,/work/42485
Rumble Fish [1983 film],/work/11778452,Rumble Fish,/work/124717
The Keep [1983 film],/work/18514521,The Keep,/work/32248
The Lonely Lady [1983 film],/work/17798048,The Lonely Lady,/work/43473
Gorky Park [1983 film],/work/4341200,Gorky Park,/work/38344
The Osterman Weekend [1983 film],/work/9964472,The Osterman Weekend,/work/49653
High Road to China [1983 film],/work/14854278,High Road to China [1983 film],/work/14854278
The Wicked Lady [1983 film],/work/20539727,Life and Death of the Wicked Lady Skelton,/work/625707
