Link,Title,Release_Date,ViewRating,Runtime,Genres,Description
/title/tt0207350/,Bons baisers... à lundi,(1974), ,94 min,"Comedy, Crime","Three thieves, Henri-Pierre, Bob and Dimitri decide to take on Frankie Strong, a wealthy businessman."
/title/tt0175560/,The Dervish and Death,(1974), ,105 min,Drama,
/title/tt1407978/,Eradu Kanasu,(1974),Not Rated,140 min,"Drama, Musical, Romance","Ramachandra Rao, a college professor, is newly married but is unable to come to terms with his previously failed relationship. This sours his relationship with his wife."
/title/tt0071111/,Street of Joy,(1974), ,78 min,Drama,
/title/tt0071832/,La merveilleuse visite,(1974), ,100 min,"Drama, Fantasy","In a small French village, an angel appears disguised as a beautiful young blond."
/title/tt0072302/,Tormento,(1974), ,89 min,Drama,"A man returns to Spain after getting rich in America. He falls in love with a woman who works as a servant in his cousin's home. Before marrying her, he finds out that she's had a torrid affair with a priest."
/title/tt0072337/,Un linceul n'a pas de poches,(1974), ,125 min,"Crime, Drama","Michel Dolannes resigns from a major newspaper as a journalist to launch a new journal 'Le Cosmopolite' which reveals all kinds of shady deals.One day, he is killed but who is the killer ?"
/title/tt0068382/,Cinco mil dolares de recompensa,(1974), , ,"Action, Drama, Thriller",
/title/tt0290521/,The Cherry Picker,(1974), ,92 min,Drama,
/title/tt0071183/,The Kiss of Death,(1974), ,90 min,Drama,
/title/tt0071134/,Amore amaro,(1974), ,106 min,Drama,
/title/tt0071606/,"Help, de dokter verzuipt!",(1974), ,94 min,Comedy,Small town doctor Angelino falls in love at first sight with schoolteacher Irene. Bram the Builder is in love with gypsy girl Katja. Neither of the two men know how to convey their feelings to the objects of their affection.
/title/tt0071447/,A dunai hajós,(1974), ,97 min,Adventure,
/title/tt0072073/,La regenta,(1974), ,93 min,Drama,
/title/tt0071773/,Lost in the Stars,(1974),G,97 min,"Drama, Musical","Brock Peters (To Kill a Mockingbird) is Stephen Kumalo, a black South African minister searching the unfamiliar back alleys and shantytowns of Johannesburg for his son, Absalom."
/title/tt0072968/,Yi lian you meng,(1974), ,95 min,"Drama, Romance",
/title/tt0218482/,O.K. patron,(1974), ,85 min,Comedy,The widow of a French mafia boss decides to find a successor for him.
/title/tt6650832/,Heidi in città,(1974), , ,"Animation, Adventure, Comedy",
/title/tt0069832/,Bør Børson Jr.,(1974), ,175 min,"Comedy, Musical",This is the story about the great man of Olderdalen which starts as a simple shop-owner in the country and ends up as a tycoon in the capital (right after WW1.)
/title/tt0068891/,Cat's Play,(1974), ,98 min,"Drama, Music","The story of two elderly sisters who exchange letters, and through brief flashbacks we see glimpses of their younger years."
/title/tt0206366/,Les trois mousquetaires,(1974), ,68 min,"Animation, Adventure, Family",D'Artagnan and his musketeer comrades must thwart the plans of Cardinal Richelieu to usurp King Louis XIII's power.
/title/tt0072360/,The Brutalization of Franz Blum,(1974), ,104 min,"Crime, Drama",
/title/tt0071770/,The Catamount Killing,(1974),PG,93 min,"Crime, Drama","A banker troubled by both business and personal problems is transferred to a small town. There he meets and seduces an older woman. Together, they decide to pull off a payroll holdup together."
/title/tt0139691/,City Under Siege,(1974), ,114 min,"Crime, Drama",
/title/tt0071441/,Drei Männer im Schnee,(1974), ,92 min,Comedy,
/title/tt0071182/,Il bacio di una morta,(1974), ,95 min,"Drama, Horror, Romance",The Countess Clara is in love with Andrea Valverde but agrees to marry the Count Guido when he learns that Andrew is his brother from his mother's side.
/title/tt0158313/,Us-Paar,(1974), , ,"Drama, Family, Romance",
/title/tt0214985/,Nellu,(1974), , ,"Drama, Romance",
/title/tt0071914/,Nitten røde roser,(1974), ,99 min,Crime,"A Danish man's girlfriend is killed by a drunk driver. After a stay at a mental hospital he decides to kill someone dear to each of the 4 men in the car. 3 police detectives try to solve the ""random"" murders."
/title/tt0195220/,Il romanzo di un giovane povero,(1974), ,95 min,Drama,The turbulent vicissitudes of the young protagonist perpetually torn between a Volterrian candor and a legitimate desire for revenge.
/title/tt0073383/,My Michael,(1974), ,95 min,Drama,
/title/tt0070529/,The Fish with the Eyes of Gold,(1974), ,90 min,Crime,A ruthless killer is spreading terror in a beach town.
/title/tt0071919/,La noche de la furia,(1974), ,90 min,"Crime, Thriller",
/title/tt0123133/,Kimen,(1974), ,93 min,Drama,"On a small green island out in the sea, they live in harmony - until a stranger comes. Like a hurricane this rocks the small society, and a killing lets all hidden forces loose."
/title/tt0137871/,The Hair,(1974), ,104 min,"Comedy, Crime",A middle-aged man becomes deeply involved with the affairs and criminal connections of a mysterious girl.
/title/tt0071527/,Gangsterfilmen,(1974), ,105 min,Crime,"An American gangster (Gulager) arrives in a small town in the south of Sweden. He establishes himself as a kind of politician/preacher, promising great changes in the community. Only a few people suspect that his intentions are evil."
/title/tt0071649/,Il était une fois dans l'est,(1974), ,101 min,Drama,Criss-cross stories adapted by author Michel Tremblay's popular plays from the Plateau borough in Montreal.
/title/tt1091793/,The Bondwoman,(1974), ,116 min,Drama,
/title/tt0179170/,A Estrela Sobe,(1974), ,105 min,Drama,
/title/tt0071711/,"Captain Mikula, the Kid",(1974), ,95 min,"Drama, War",
/title/tt0173929/,L'ironie du sort,(1974), ,82 min,"Drama, War",
/title/tt0071964/,La Paloma,(1974), ,112 min,"Drama, Fantasy, Romance","A love story between a ""demi-mondaine"" kept by various lovers, suffering from tuberculosis, and a young provincial bourgeois. Adaptation from the novel by Alexandre Dumas, fils, ""The Lady of the Camellias""."
/title/tt0279896/,Kanli deniz,(1974), ,81 min,Drama,The film takes on the story of two men who are in love with the same woman.
/title/tt0071353/,"Come parli, frate?",(1974), ,52 min,Romance,
/title/tt0072153/,"Shoot It Black, Shoot It Blue",(1974),R,93 min,"Crime, Drama","A young black student accidentally films a crooked cop committing a murder. He then follows the cop around, filming more of his illegal activities."
/title/tt0384246/,The Family,(1974), ,211 min,Drama,
/title/tt0072395/,Wer stirbt schon gerne unter Palmen?,(1974), ,84 min,"Crime, Drama",
/title/tt0072145/,Wu yi,(1974), ,89 min,"Drama, Romance",
/title/tt0327966/,Island of Lost Souls,(1974), ,95 min,"Action, Adventure, Drama",The film version of Jose Leon Sanchez's best-selling novel about the author's 20 years of imprisonment on an island ruled by brutality.
/title/tt0192099/,Black Thursday,(1974),PG,92 min,Drama,
/title/tt0071933/,Nøddebo præstegaard,(1974), ,90 min,"Comedy, Drama, Family","3 brothers studying at Copenhagen University are invited to Nøddebo vicarage for Christmas. A steam engine and later a sleigh get them there. The vicar has 2 daughters of 18 and 21. They all sing, ice-skate, dance and have fun."
/title/tt0355691/,Vreemde Wêreld,(1974), ,91 min,"Crime, Drama",A young woman inherits a massive industrial empire that starts a feud with her relatives.
/title/tt0072022/,Pourvu qu'on ait l'ivresse,(1974), ,82 min,Drama,
/title/tt0072135/,Bitterness of Youth,(1974), ,85 min,Romance,
/title/tt0125825/,Den kyske levemand,(1974), ,104 min,Comedy,"Mr. Basse wants his employee Mr. Bumbach married to his daughter. To make Bumbach more interesting, he invents an affair Bumbach must have had with movie star Rya Rya."
/title/tt0071238/,Boquitas pintadas,(1974),R,120 min,Drama,The life and the lovers of a few young women in a provincial town.
