link,published,author,series,rating,charnum,awardnum
/work/24565,(1992),by Lawrence Block,1,(3.94),5,1
/work/9726954,(1993),by Lois Lowry,1,(4.17),6,44
/work/474525,,by Bill Granger,1,(3.5),9,1
/work/15563333,(2014),by Dean DeBlois (Director/Screenwriter),1,(3.83),1,1
/work/71746,(1979),by Scott Spencer,0,(3.46),6,4
/work/8193712,(2004),by Joseph Delaney,1,(3.85),12,5
/work/8372575,(2009),by Jonathan Tropper,0,(3.84),19,3
/work/11107851,(2011),by Nicholas Sparks,0,(3.68),2,1
/work/4301018,(2007),by Lisa Genova,0,(4.24),8,3
/work/909,,"by Tim LaHaye, Angela Elwell Hunt, Jerry B. Jenkins",1,(3.35),10,4
/work/7250107,,by Gayle Forman,1,(3.88),10,24
/work/8202034,,by Zane,0,(3.8),7,1
/work/10650990,(2011),by S. J. Watson,0,(3.73),6,15
/work/9751827,(2008),by Richard C. Morais,0,(3.46),2,1
/work/1648144,,by Glendon Swarthout,0,(3.87),1,2
/work/7118,(1983),by Mark Helprin,0,(4),16,5
/work/5532612,(2008),by John Le Carré,0,(3.47),11,3
/work/5387906,(2008),by Ron Rash,0,(3.69),4,6
/work/16257939,(2014),"by Graham Annable (Director), Adam Pava (Writer), Anthony Stacchi (Director)",0,(3.69),1,1
/work/12501886,,by Paulo Lins,0,(4),1,1
/work/7372,(2005),by Nick Hornby,0,(3.46),8,2
/work/255302,(1961),by Patricia Highsmith,0,(3.52),3,1
/work/16953804,,by Jim Manera,1,(1),1,1
/work/8387740,(2009),by Philip Roth,0,(3.21),3,1
/work/614063,(1990),"by Katsuhiro Ōtomo, Katsuhiro Otomo",0,(4.05),1,1
/work/2964,(1925),"by F. Scott Fitzgerald, Jane Pauley (Narrator), Maria Tsaneva (Illustrator)",0,(3.86),18,43
/work/12444,(1974),by Stephen King,0,(3.73),8,10
/work/14675532,(1983),"by Jacques Lob, Jean-Marc Rochette (Illustrator)",1,(3.23),1,1
/work/14044,(2000),by Michel Faber,0,(3.73),6,5
/work/8662515,,by Suzanne Collins,1,(4.18),42,17
/work/6426432,(2006),by Max Brooks,0,(3.99),24,12
/work/3206242,(1937),by J. R. R. Tolkien,1,(4.27),39,30
/work/331861,(1853),by Solomon Northup,0,(4.2),1,1
/work/8174366,,"by Kami Garcia, Margaret Stohl",1,(3.64),32,13
/work/10473301,,by Isaac Marion,1,(3.86),5,1
/work/825739,(1977),by Orson Scott Card,1,(4.31),25,23
/work/8024489,,by Cassandra Clare,1,(3.86),11,11
/work/17845441,,"by Gary Fleder (Director), Chuck Logan (Novel by), Sylvester Stallone (Screenwriter)",0,,1,1
/work/13945685,(2013),"by Sam Raimi (Director), Frank L. Baum (Author)",0,(3.25),1,1
