Link,Title_x,Release_Date,ViewRating_x,Runtime_x,Genres_x,Description_x,Title_y,ViewRating_y,Genres_y,Budget,DomesticGross,WorldwideGross,Description_y,Keywords,Runtime_y
/title/tt0166797/,Shared Secrets,(1998),R,104 min,"Thriller, Crime",,,,,,,,,,
/title/tt0156479/,Disparus,(1998), ,100 min,Drama,,,,,,,,,,
/title/tt0294759/,Namjaui hyanggi,(1998), ,106 min,"Drama, Romance",Can a childhood crush survive into adulthood?,,,,,,,,,
/title/tt0269537/,A Tree in House,(1998), ,113 min,Comedy,"Garrulous Zhang Damin is annoying and droll, lives together with his mother, two brothers and two sisters, in a orderly life.",,,,,,,,,
/title/tt0327019/,Rabu retâ,(1998), ,108 min,,,,,,,,,,,
/title/tt0168978/,Lucia,(1998), ,97 min,"Drama, Mystery",,,,,,,,,,
/title/tt0171063/,Amor & Cia,(1998), ,100 min,Comedy,,,,,,,,,,
/title/tt0250713/,Saïd,(1998), ,100 min,Drama,,,,,,,,,,
/title/tt0805186/,Dai-nana kankai hoko: Osaki Midori o sagashite,(1998), ,108 min,Drama,,,,,,,,,,
/title/tt0150224/,Criminal Law,(1998), , ,,,,,,,,,,,
/title/tt0168703/,"Dormez, je le veux!",(1998), ,98 min,Drama,,,,,,,,,,
/title/tt0305675/,Inger Christensen - Cikaderne findes,(1998), ,52 min,Documentary,,,,,,,,,,
/title/tt0297755/,Baburu to neta onna-tachi,(1998), ,90 min,Drama,,,,,,,,,,
/title/tt0274036/,The Mouses (the Reluctant),(1998), ,80 min,"Drama, Romance",,,,,,,,,,
/title/tt0273751/,Lukas sakhareba,(1998), ,72 min,Drama,,,,,,,,,,
/title/tt0923618/,Blumenstein Fernand - bláznuv príbeh,(1998), ,47 min,,,,,,,,,,,
/title/tt0119345/,I Know What You Did Last Summer,(1997),R,101 min,"Horror, Mystery",Four young friends bound by a tragic accident are reunited when they find themselves being stalked by a hook-wielding maniac in their small seaside town.,,,,,,,,,
/title/tt0119558/,Lolita,(1997),R,137 min,"Drama, Romance","An English professor falls for a minor, and has to face the consequences of his actions.",,,,,,,,,
/title/tt0119488/,L.A. Confidential,(1997),R,138 min,"Crime, Drama, Mystery","As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",,,,,,,,,
/title/tt0118971/,The Devil's Advocate,(1997),R,144 min,"Drama, Mystery, Thriller",An exceptionally adept Florida lawyer is offered a job at a high-end New York City law firm with a high-end boss - the biggest opportunity of his career to date.,,,,,,,,,
/title/tt0120201/,Starship Troopers,(1997),R,129 min,"Action, Adventure, Sci-Fi","Humans in a fascist, militaristic future wage war with giant alien bugs.",,,,,,,,,
/title/tt0119396/,Jackie Brown,(1997),R,154 min,"Crime, Drama, Thriller","A flight attendant with a criminal past gets nabbed by the FBI for smuggling. Under pressure to become an informant against the drug dealer she works for, she must find a way to secure her future without getting killed.",,,,,,,,,
