Link,Title,Release_Date,ViewRating,Runtime,Genres,Description
/title/tt13387422/,"Vengeance Is Mine, All Others Pay Cash",(2021),TV-MA,114 min,"Action, Comedy, Drama","In a society ruled by machismo, a hibernating ""bird"" becomes a serious matter. In a life of brutality, the sleeping bird is an allegory for a peaceful and serene life, even when the whole world tries desperately to rouse it."
/title/tt13873302/,Against the Ice,(2021), , ,"Adventure, Drama, History",
/title/tt13269616/,As in Heaven,(2021), ,86 min,Drama,"On a farm in the late 1800s an intense waiting begins when a mother goes into a complicated labour, and 14-year-old Lise must prepare herself for a night that may change her life forever."
/title/tt10510280/,School's Out Forever,(2021), ,105 min,"Comedy, Drama, Horror",A 15-year old flees to his school after an apocalyptic event.
/title/tt5280052/,Simone,(2021), ,116 min,"Romance, Thriller","A mysterious, erotic and haunting love story between a writer/professor at Puerto Rico's leading University and an aspiring artist from the immigrant Chinese community."
/title/tt10196108/,Eugénie Grandet,(2021), ,103 min,Drama,
/title/tt13289298/,At the Mountains of Madness,(2021), ,69 min,"Horror, Thriller",A group of scientists studying climate change discover untold horrors on a disastrous expedition to the Antarctic in September 1992. Inspired by the H.P. Lovecraft short story.
/title/tt14236064/,We Couldn't Become Adults,(2021),TV-MA,124 min,"Drama, Romance","Prodded by a friend request, a forty-something recalls his past relationships from the 90s onward, looking for his vanished hopes and dreams."
/title/tt4853244/,Rickshaw Girl,(2021), ,102 min,Family,A Bangladeshi girl bravely attempts to help her struggling family by disguising herself as a boy and driving her father's prized rickshaw for much needed extra money. Based on the acclaimed middle-grade novel by Mitali Perkins.
/title/tt13514232/,The Blood of Wolves II,(2021), ,149 min,Crime,
/title/tt10540510/,Inu-oh,(2021), ,98 min,"Animation, Fantasy, Music","A fictionalized depiction of the life of Inu-oh (""King Dog""), a 14th-century Japanese performer of music drama at the time of its transition from the folk art of sarugaku (""monkey music"") into the formalized traditions of Noh and kyôgen."
/title/tt15310274/,Alice in Panchalinadu,(2021), ,108 min,Thriller,"The movie revolves around the life of Alice, a resident of Delhi, after she visits her ancestral home in Pachalinadu, an infamous village in Idukki known as the hub for robberies."
/title/tt8170712/,Redeemed,(2021),TV-MA,80 min,"Drama, Family",
/title/tt13287528/,The Seeding,(2021), , ,Horror,The 1st film in a horror trilogy based on the book from AB Gibson.
/title/tt11936782/,Geez & Ann,(2021),TV-14,105 min,"Drama, Romance",They first met at an alumni event. The first meeting was very memorable for the dreamer Ann and the mysterious Geez.
/title/tt9803454/,Candela,(2021), ,93 min,"Drama, Thriller","The lives of three strangers -A high society girl, a lonely lieutenant and a drag queen cabaret performer- intertwine on the eve of a hurricane following the mysterious death of a young poet and drug dealer."
/title/tt14749948/,My Sunny Maad,(2021), ,85 min,"Animation, Drama",
/title/tt14966368/,The Show Must Go On,(II) (2021), ,88 min,Documentary,"5 individuals share how the world of cinema changed their lives until film was deemed obsolete. 10 years later, their friendship, the movie industry and the entire world would be forever altered yet again but now by a deadly pandemic."
/title/tt13528562/,Asakusa Kid,(2021), ,122 min,"Biography, Drama","Before he hit it big, Takeshi Kitano got his start apprenticing with comedy legend Fukami of Asakusa. But as his star rises, his mentor's declines."
/title/tt13346994/,The Heaven None Missed 3,(2021),TV-14,120 min,"Drama, Romance","Meirose strives to create heaven in her family, with her husband and their two children. One day, Ray, a man from her past, returns and wants to build his lost paradise with Meirose and Akbar."
/title/tt10749948/,Land of Legends,(2021), ,110 min,"Action, Drama, Fantasy",
/title/tt11799764/,Merindu Cahaya de Amstel,(2021), , ,Drama,
/title/tt2231058/,By Deception,(2021), , ,Thriller,A promising novelist finds himself trapped in a terrifying reality as he reckons with the notion that a murderer is in his midst.
/title/tt10704730/,"Prvok, Sampon, Tecka a Karel",(2021), ,118 min,Comedy,Four friends battle their midlife crisis by completing several challenges.
/title/tt14393202/,Na mo Naki Sekai no End Roll,(2021), ,101 min,Drama,"Kida and Makoto share a powerful bond. The former outcasts spend a decade fighting to both the apex of the underworld and legit society so that Makoto can propose to a certain rich woman, which would be an epic scheme to change the world."
/title/tt13479414/,"Gump - pes, který naucil lidi zít",(2021), , ,Family,"A stray dog named Gump is searching for his place in the human world. He wishes to get a companion, but has to endure several challenges along the way."
/title/tt3195548/,Game of Power,(2021), , ,"Crime, Drama, Mystery",
/title/tt4680594/,Vinski and the Invisibility Powder,(2021), , ,"Comedy, Family, Fantasy",
/title/tt14128824/,The Tender Trap,(2021), ,90 min,Drama,"In 2011 the startling news broke around New Zealand that Sharon Armstrong, a middle-aged grandmother and public servant who worked for the Maori Language Commission had been arrested in Argentina with 5kg of cocaine in her suitcase."
/title/tt12621548/,Denícek moderního fotra,(2021), , ,Comedy,
/title/tt10672888/,Burns House,(2021), , ,Horror,"A young woman revisits her childhood home, a place with a long history of violent and unnatural deaths."
/title/tt10560338/,Bhasadbaaz,(2021), ,60 min,"Comedy, Drama",
/title/tt15250664/,1984: Theatrical play,(2021), ,59 min,Drama,
/title/tt13606916/,Gang Gang,(2021), ,129 min,Drama,"Gang Gang is based on the novel by Quanie Cash ""Gang Gang"". A tale of 4 friends involved in the Opium Epidemic in Tennessee."
/title/tt12816738/,Spící mesto,(2021), , ,"Family, Fantasy, Mystery","All the parents suddenly fall asleep, and children have to survive in the world. A thrilling adventure showing what can happen when chaos reigns and children are forced to face the pitfalls of the world on their own."
/title/tt14227272/,Funny Bunny,(2021), ,103 min,Mystery,
/title/tt11491866/,"Gaia, Envoy to the Council of the Fourth Dimension",(2021), , ,"Action, Adventure, Fantasy",A time-traveling guardian must save Earth
/title/tt13911944/,The Marked One,(2021), , ,Horror,
/title/tt15830400/,Life 2.0,(2021), , ,Romance,
/title/tt15881610/,The fall of Usher's house,(2021), ,16 min,"Short, Drama, Fantasy","The main character comes to his childhood friend, not suspecting what awaits him."
/title/tt10886166/,365 Days,(2020),TV-MA,114 min,"Drama, Romance","Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him."
/title/tt1051906/,The Invisible Man,(I) (2020),R,124 min,"Drama, Horror, Mystery","When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see."
/title/tt10362466/,After We Collided,(2020),R,105 min,"Drama, Romance","Based on the 2014 romance novel of the same name, this follows the love life of two young adults."
/title/tt0805647/,The Witches,(2020),PG,106 min,"Adventure, Comedy, Family",A young boy and his grandmother have a run-in with a coven of witches and their leader.
/title/tt9214832/,Emma.,(2020),PG,124 min,"Comedy, Drama, Romance","In 1800s England, a well meaning but selfish young woman meddles in the love lives of her friends."
/title/tt7846844/,Enola Holmes,(2020),PG-13,123 min,"Action, Adventure, Crime","When Enola Holmes-Sherlock's teen sister-discovers her mother missing, she sets off to find her, becoming a super-sleuth in her own right as she outwits her famous brother and unravels a dangerous conspiracy around a mysterious young Lord."
/title/tt6673612/,Dolittle,(2020),PG,101 min,"Adventure, Comedy, Family",A physician who can talk to animals embarks on an adventure to find a legendary island with a young apprentice and a crew of strange pets.
/title/tt5144174/,The Dry,(2020),R,117 min,"Crime, Drama, Mystery",Aaron Falk returns to his drought-stricken hometown to attend a tragic funeral. But his return opens a decades-old wound - the unsolved death of a teenage girl.
/title/tt8652818/,Violet Evergarden: The Movie,(2020), ,140 min,"Animation, Drama, Fantasy","After the aftermath of a war, a young girl who was used as a 'tool' for war learned to live. With the scars of burns, she goes back to her past to feel the true feelings of the Major's, ""I love you."""
/title/tt8201852/,You Should Have Left,(2020),R,93 min,"Horror, Thriller","A former banker, his actress wife, and their spirited daughter book a vacation at an isolated modern home in the Welsh countryside where nothing is quite as it seems."
/title/tt2235695/,Rebecca,(I) (2020),PG-13,123 min,"Drama, Mystery, Romance","A young newlywed arrives at her husband's imposing family estate on a windswept English coast and finds herself battling the shadow of his first wife, Rebecca, whose legacy lives on in the house long after her death."
/title/tt9340860/,Let Him Go,(2020),R,113 min,"Crime, Drama, Thriller","A retired sheriff and his wife, grieving over the death of their son, set out to find their only grandson."
/title/tt8629748/,Spenser Confidential,(2020),R,111 min,"Action, Comedy, Crime","When two Boston police officers are murdered, ex-cop Spenser teams up with his no-nonsense roommate, Hawk, to take down criminals."
/title/tt10539608/,The Midnight Sky,(2020),PG-13,118 min,"Drama, Fantasy, Sci-Fi","This post-apocalyptic tale follows Augustine, a lonely scientist in the Arctic, as he races to stop Sully and her fellow astronauts from returning home to a mysterious global catastrophe."
/title/tt3907584/,All the Bright Places,(2020),TV-MA,107 min,"Drama, Romance","The story of Violet and Theodore, who meet and change each other's lives forever. As they struggle with the emotional and physical scars of their past, they discover that even the smallest places and moments can mean something."
/title/tt7504726/,The Call of the Wild,(2020),PG,100 min,"Adventure, Drama, Family",A sled dog struggles for survival in the wilds of the Yukon.
/title/tt4532038/,The War with Grandpa,(2020),PG,94 min,"Comedy, Drama, Family","Upset that he has to share the room he loves with his grandfather, Peter decides to declare war in an attempt to get it back."
/title/tt5774062/,Spontaneous,(II) (2020),R,101 min,"Comedy, Horror, Romance","Get ready for the outrageous coming-of-age love story about growing up...and blowing up. When students in their school begin exploding (literally), seniors Mara and Dylan struggle to survive in a world where each moment may be their last."
/title/tt9421200/,A Perfect Enemy,(2020), ,89 min,"Drama, Thriller","A successful architect is approached on his trip to the Paris Airport by a chatty girl. Although the meeting seems fortuitous, soon there be a turn that will transform the encounter into something much more sinister and criminal."
/title/tt7134096/,The Rhythm Section,(2020),R,109 min,"Action, Drama, Mystery",A woman seeks revenge against those who orchestrated a plane crash that killed her family.
/title/tt3089630/,Artemis Fowl,(2020),PG,95 min,"Adventure, Family, Fantasy","Artemis Fowl, a young criminal prodigy, hunts down a secret society of fairies to find his missing father."
/title/tt4106514/,The Postcard Killings,(2020),Not Rated,104 min,"Crime, Drama, Thriller",A New York detective investigates the death of his daughter who was murdered while on her honeymoon in London; he recruits the help of a Scandinavian journalist when other couples throughout Europe suffer a similar fate.
/title/tt8045906/,Words on Bathroom Walls,(2020),PG-13,110 min,"Drama, Romance","Diagnosed with a mental illness halfway through his senior year of high school, a witty, introspective teen struggles to keep it a secret while falling in love with a brilliant classmate who inspires him to not be defined by his condition."
